iter	Passed	Remaining
0	3	310
1	5	279
2	8	269
3	10	251
4	13	252
5	16	261
6	19	255
7	21	251
8	23	241
9	25	232
10	28	230
11	31	230
12	33	227
13	36	226
14	39	223
15	42	221
16	44	218
17	47	216
18	49	210
19	52	208
20	54	205
21	57	202
22	59	199
23	62	197
24	65	195
25	67	192
26	70	189
27	72	187
28	75	184
29	77	181
30	80	178
31	82	176
32	85	172
33	87	170
34	90	167
35	93	165
36	95	163
37	98	160
38	101	158
39	103	155
40	106	152
41	108	150
42	111	147
43	114	145
44	117	143
45	119	140
46	122	138
47	124	135
48	127	132
49	129	129
50	132	127
51	134	124
52	137	121
53	140	119
54	142	116
55	145	114
56	147	111
57	150	109
58	153	106
59	155	103
60	158	101
61	161	98
62	163	96
63	166	93
64	168	90
65	171	88
66	174	85
67	177	83
68	180	80
69	182	78
70	185	75
71	187	73
72	190	70
73	192	67
74	195	65
75	198	62
76	200	60
77	203	57
78	206	54
79	209	52
80	213	49
81	215	47
82	218	44
83	220	42
84	223	39
85	225	36
86	228	34
87	231	31
88	233	28
89	236	26
90	239	23
91	241	20
92	243	18
93	246	15
94	248	13
95	251	10
96	253	7
97	257	5
98	259	2
99	262	0
